Journal title,SJR Impact,SJR Subject Category Best Quartile,Journal article processing charges (APCs),Currency,APC in EUR (including 19% taxes),APC below 2000 EUR,APC information URL,Average number of weeks between submission and publication,Subject category 1,Subject category 2,Journal license,Journal URL,Publisher,pISSN,eISSN
Therapeutic Advances in Gastroenterology,1.226,Q1,2300,USD,2573,no,https://journals.sagepub.com/author-instructions/tag,15,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/tag,SAGE Publishing,1756-283X,1756-2848
Clinical and Experimental Gastroenterology,1.101,Q1,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=34,16,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC",https://www.dovepress.com/clinical-and-experimental-gastroenterology-journal,Dove Medical Press,NA,1178-7023
BMJ Open Gastroenterology,1.008,Q2,2060,GBP,2822,no,https://bmjopengastro.bmj.com/pages/authors/#article_publishing_charges,2,Diseases of the digestive system. Gastroenterology,,"CC BY-NC, CC BY, CC BY-NC-ND",http://bmjopengastro.bmj.com/,BMJ Publishing Group,NA,2054-4774
Gastroenterology Report,0.941,Q2,1100,GBP,1507,yes,https://academic.oup.com/gastro/pages/Manuscript_Instructions#Open%20Access,8,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC",https://academic.oup.com/gastro,Oxford University Press,NA,2052-0034
Gut Pathogens,0.94,Q1,2490,GBP,3411,no,https://gutpathogens.biomedcentral.com/about,5,Diseases of the digestive system. Gastroenterology,,"CC BY, CC0",https://gutpathogens.biomedcentral.com/,BMC,NA,1757-4749
Inflammatory Intestinal Diseases,0.776,Q2,900,CHF,1110,yes,https://www.karger.com/Journal/Guidelines/261895#sec62,24,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC",http://www.karger.com/iid,Karger Publishers,2296-9403,2296-9365
BMC Gastroenterology,0.759,Q2,2290,GBP,3137,no,https://bmcgastroenterol.biomedcentral.com/about,22,Diseases of the digestive system. Gastroenterology,,"CC BY, CC0",https://bmcgastroenterol.biomedcentral.com,BMC,NA,1471-230X
Clinical Endoscopy,0.62,Q2,200,USD,224,yes,https://www.e-ce.org/authors/authors.php#6,26,Diseases of the digestive system. Gastroenterology,,CC BY-NC,https://www.e-ce.org/,Korean Society of Gastrointestinal Endoscopy,2234-2400,2234-2443
Gastroenterology Research and Practice,0.543,Q3,2375,USD,2657,no,https://www.hindawi.com/journals/grp/apc/,19,Diseases of the digestive system. Gastroenterology,,CC BY,https://www.hindawi.com/journals/grp/,Hindawi Limited,1687-6121,1687-630X
JGH Open,0.522,Q3,2000,USD,2237,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/23979070/homepage/article_publication_charges.htm,7,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/23979070,Wiley,NA,2397-9070
Therapeutic Advances in Gastrointestinal Endoscopy,0.455,Q3,2000,USD,2237,no,https://journals.sagepub.com/author-instructions/cmg,13,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/cmg,SAGE Publishing,NA,2631-7745
VideoGIE,0.407,Q3,4000,USD,4474,no,https://www.elsevier.com/journals/videogie/2468-4481/open-access-journal,15,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC-ND",https://www.sciencedirect.com/journal/videogie,Elsevier,NA,2468-4481
International Journal of Hepatology,0.395,Q3,925,USD,1035,yes,https://www.hindawi.com/journals/ijh/apc/,15,Diseases of the digestive system. Gastroenterology,,CC BY,https://www.hindawi.com/journals/ijh/,Hindawi Limited,2090-3448,2090-3456
Crohn's & Colitis 360,0.34,Q3,2975,USD,3328,no,https://academic.oup.com/crohnscolitis360/pages/General_Instructions#Open%20Access,12,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC",https://academic.oup.com/crohnscolitis360,Oxford University Press,NA,2631-827X
GE: Portuguese Journal of Gastroenterology,0.285,Q3,No,-,0,yes,https://www.karger.com/Journal/Guidelines/272027#sec62,21,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC",http://www.karger.com/Journal/Home/272027,Karger Publishers,2341-4545,2387-1954
Case Reports in Gastroenterology,0.211,Q3,930,CHF,1147,yes,https://www.karger.com/Journal/Guidelines/232833#sec62,17,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC",http://www.karger.com/crg,Karger Publishers,NA,1662-0631
ACG Case Reports Journal,0.131,Q4,No,-,0,yes,https://journals.lww.com/acgcr/Pages/Open-Access.aspx,12,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC-ND",https://journals.lww.com/acgcr/pages/default.aspx,Wolters Kluwer Health,NA,2326-3253
Hepatic Oncology,-,-,1415,USD,1583,yes,https://www.futuremedicine.com/authorguide/openaccess,13,Diseases of the digestive system. Gastroenterology,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,CC BY-NC-ND,https://www.futuremedicine.com/journal/HEP,Future Medicine Ltd,2045-0923,2045-0931
Case Reports in Gastrointestinal Medicine,-,-,725,USD,811,yes,https://www.hindawi.com/journals/crigm/apc/,14,Diseases of the digestive system. Gastroenterology,,CC BY,https://www.hindawi.com/journals/crigm/,Hindawi Limited,2090-6528,2090-6536
Case Reports in Hepatology,-,-,725,USD,811,yes,https://www.hindawi.com/journals/crihep/apc/,12,Diseases of the digestive system. Gastroenterology,,CC BY,https://www.hindawi.com/journals/crihep/,Hindawi Limited,2090-6587,2090-6595
Endoscopy International Open,-,-,2620,EUR,3118,no,https://www.thieme.com/books-main/apcs/product/4996-endoscopy-international-open,12,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC-ND",https://doi.org/10.1055/s-00025476,Georg Thieme Verlag KG,2364-3722,2196-9736
Hepatic Medicine: Evidence and Research,-,-,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=61,16,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC",https://www.dovepress.com/hepatic-medicine-evidence-and-research-journal,Dove Medical Press,NA,1179-1535
Clinical Medicine Insights: Gastroenterology,-,-,2000,USD,2237,no,https://uk.sagepub.com/en-gb/eur/therapeutic-advances-in-gastrointestinal-endoscopy/journal203645#submission-guidelines,8,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/cmg,SAGE Publishing,NA,1179-5522
DEN Open,-,-,2500,USD,2796,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/26924609/homepage/Article_Publication_Charge,16,Diseases of the digestive system. Gastroenterology,,CC BY,https://onlinelibrary.wiley.com/journal/26924609,Wiley,NA,2692-4609
Diabetes & Metabolism Journal,1.5,Q1,500,USD,559,yes,http://e-dmj.org/index.php?body=charge,52,Diseases of the endocrine glands. Clinical endocrinology,,CC BY-NC,http://e-dmj.org/,Korean Diabetes Association,2233-6079,2233-6087
BMJ Open Diabetes Research & Care,1.43,Q1,2885,USD,3227,no,https://drc.bmj.com/pages/authors/#article_processing_charges,18,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC BY-NC, CC BY-NC-ND",http://drc.bmj.com/,BMJ Publishing Group,NA,2052-4897
Frontiers in Endocrinology,1.278,Q1,2950,USD,3300,no,http://www.frontiersin.org/endocrinology/fees,14,Diseases of the endocrine glands. Clinical endocrinology,,CC BY,http://www.frontiersin.org/endocrinology,Frontiers Media S.A.,NA,1664-2392
Journal of Obesity & Metabolic Syndrome,1.071,Q1,No,-,0,yes,http://www.jomes.org/authors/sub02.html,19,Diseases of the endocrine glands. Clinical endocrinology,,CC BY-NC,http://www.jomes.org,Korean Society for the Study of Obesity,2508-6235,2508-7576
Therapeutic Advances in Endocrinology and Metabolism,1.058,Q1,2300,USD,2573,no,https://journals.sagepub.com/author-instructions/tae,8,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/tae,SAGE Publishing,2042-0188,2042-0196
Diabetes Therapy,1.039,Q1,5500,GBP,7534,"no, but DEAL special terms",https://www.springer.com/journal/13300,6,Diseases of the endocrine glands. Clinical endocrinology,,CC BY-NC,https://www.springer.com/journal/13300,"Adis, Springer Healthcare",NA,1869-6961
Journal of Diabetes,1.028,Q2,3000,EUR,3570,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/17530407/homepage/fundedaccess.html,14,Diseases of the endocrine glands. Clinical endocrinology,,CC BY,https://onlinelibrary.wiley.com/journal/17530407,Wiley,1753-0393,1753-0407
Journal of Diabetes Investigation,0.992,Q1,3000,USD,3356,"no, but DEAL special terms",NA,25,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC BY-NC, CC BY-NC-ND",http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2040-1124,Wiley,2040-1116,2040-1124
Journal of the Endocrine Society,0.98,Q2,2822,USD,3157,no,https://academic.oup.com/jes/pages/Author_Guidelines#charges,9,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC BY-NC-ND",https://academic.oup.com/jes,Endocrine Society,NA,2472-1972
European Thyroid Journal,0.97,Q2,2000,EUR,2380,no,https://etj.bioscientifica.com/page/charges/publication-charges,21,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC BY-NC, CC BY-NC-ND",https://etj.bioscientifica.com/,Bioscientifica,NA,2235-0802
Journal of Diabetes Research,0.925,Q2,2550,USD,2852,no,https://www.hindawi.com/journals/jdr/apc/,14,Diseases of the endocrine glands. Clinical endocrinology,,CC BY,https://www.hindawi.com/journals/jdr/,Hindawi Limited,2314-6745,2314-6753
Adipocyte,0.913,Q2,2392,EUR,2846,no,http://www.tandfonline.com/action/authorSubmission?journalCode=KADI&page=instructions,32,Diseases of the endocrine glands. Clinical endocrinology,Cytology,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/kadi,Taylor & Francis Group,2162-3945,2162-397X
Islets,0.781,Q2,2180,USD,2439,no,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=kisl20#article-publishing-charge,18,Diseases of the endocrine glands. Clinical endocrinology,Cytology,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/kisl,Taylor & Francis Group,1938-2014,1938-2022
Reproductive Medicine and Biology,0.778,Q2,1600,USD,1790,"yes, also under DEAL",http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1447-0578/homepage/article_publication_charges.htm,20,Diseases of the endocrine glands. Clinical endocrinology,Reproduction,"CC BY, CC BY-NC, CC BY-NC-ND",http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1447-0578,Wiley,1445-5781,1447-0578
Endocrine Connections,0.76,Q2,1750,GBP,2397,no,https://ec.bioscientifica.com/page/charges/publication-charges,6,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC BY-NC, CC BY-NC-ND",http://www.endocrineconnections.com/,Bioscientifica,NA,2049-3614
"Endocrinology, Diabetes & Metabolism",0.756,Q2,1650,USD,1846,"yes, also under DEAL",https://onlinelibrary.wiley.com/page/journal/23989238/homepage/article_publication_charges.htm,6,Diseases of the endocrine glands. Clinical endocrinology,,CC BY,https://onlinelibrary.wiley.com/journal/23989238,Wiley,NA,2398-9238
BMC Endocrine Disorders,0.733,Q2,2390,GBP,3274,no,https://bmcendocrdisord.biomedcentral.com/about,23,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC0",https://bmcendocrdisord.biomedcentral.com,BMC,NA,1472-6823
Clinical Medicine Insights: Endocrinology and Diabetes,0.667,Q2,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/end,8,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/end,SAGE Publishing,NA,1179-5514
JMIR Diabetes,0.643,Q2,1985,USD,2220,"yes, library special terms",https://diabetes.jmir.org/fees/article-processing-fees,16,Diseases of the endocrine glands. Clinical endocrinology,,CC BY,https://diabetes.jmir.org,JMIR Publications,NA,2371-4379
International Journal of Endocrinology,0.624,Q3,2375,USD,2657,no,https://www.hindawi.com/journals/ije/apc/,19,Diseases of the endocrine glands. Clinical endocrinology,,CC BY,https://www.hindawi.com/journals/ije/,Hindawi Limited,1687-8337,1687-8345
Journal of Clinical & Translational Endocrinology,0.614,Q3,2650,USD,2964,no,https://www.elsevier.com/journals/journal-of-clinical-and-translational-endocrinology/2214-6237/open-access-journal,16,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/journal-of-clinical-and-translational-endocrinology/,Elsevier,NA,2214-6237
Thyroid Research,0.532,Q3,2190,GBP,3000,no,https://thyroidresearchjournal.biomedcentral.com/about,8,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC0",https://thyroidresearchjournal.biomedcentral.com/,BMC,NA,1756-6614
Journal of Thyroid Research,0.468,Q3,925,USD,1035,yes,https://www.hindawi.com/journals/jtr/apc/,17,Diseases of the endocrine glands. Clinical endocrinology,,CC BY,https://www.hindawi.com/journals/jtr/,Hindawi Limited,2090-8067,2042-0072
JIMD Reports,0.442,Q3,2000,USD,2237,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/21928312/homepage/article_publication_charges,12,Diseases of the endocrine glands. Clinical endocrinology,Genetics,CC BY,https://onlinelibrary.wiley.com/journal/21928312,Wiley,2192-8304,2192-8312
Archives of Endocrinology and Metabolism,0.429,Q3,No,-,0,yes,http://www.scielo.br/revistas/aem/iinstruc.htm,7,Diseases of the endocrine glands. Clinical endocrinology,,CC BY,http://www.scielo.br/scielo.php?script=sci_serial&pid=2359-3997&lng=en&nrm=iso,Brazilian Society of Endocrinology and Metabolism,2359-3997,2359-4292
AACE Clinical Case Reports,0.288,Q3,400,USD,447,yes,https://www.elsevier.com/journals/aace-clinical-case-reports/2376-0605/open-access-journal,12,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/aace-clinical-case-reports,Elsevier,NA,2376-0605
"Endocrinology, Diabetes & Metabolism Case Reports",0.282,Q3,499,GBP,684,yes,https://edm.bioscientifica.com/page/charges/publication-charges,9,Diseases of the endocrine glands. Clinical endocrinology,,CC BY-NC-ND,https://edm.bioscientifica.com/,Bioscientifica,NA,2052-0573
Case Reports in Endocrinology,0.272,Q4,725,USD,811,yes,https://www.hindawi.com/journals/crie/apc/,13,Diseases of the endocrine glands. Clinical endocrinology,,CC BY,https://www.hindawi.com/journals/crie/,Hindawi Limited,2090-6501,2090-651X
Journal of the ASEAN Federation of Endocrine Societies,0.223,Q4,No,-,0,yes,https://www.asean-endocrinejournal.org/index.php/JAFES,8,Diseases of the endocrine glands. Clinical endocrinology,,CC BY-NC,http://www.asean-endocrinejournal.org,ASEAN Federation of Endocrine Societies,0857-1074,2308-118X
Clinical Diabetes and Endocrinology,-,-,1890,GBP,2589,no,https://clindiabetesendo.biomedcentral.com/about,8,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC0",https://clindiabetesendo.biomedcentral.com,BMC,NA,2055-8260
Endocrine Oncology,-,-,No,-,0,yes,https://eo.bioscientifica.com/page/charges/publication-charges,26,Diseases of the endocrine glands. Clinical endocrinology,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,"CC BY, CC BY-NC, CC BY-NC-ND",https://eo.bioscientifica.com/,Bioscientifica,NA,2634-4793
Glomerular Diseases,-,-,950,EUR,1130,yes,https://www.karger.com/Journal/Guidelines/279167#sec63,24,Diseases of the endocrine glands. Clinical endocrinology,,"CC BY, CC BY-NC",https://www.karger.com/gdz,Karger Publishers,NA,2673-3633
Frontiers in Clinical Diabetes and Healthcare,-,-,1900,USD,2125,no,https://www.frontiersin.org/about/publishing-fees,13,Diseases of the endocrine glands. Clinical endocrinology,,CC BY,https://www.frontiersin.org/journals/clinical-diabetes-and-healthcare,Frontiers Media S.A.,NA,2673-6616
Kidney International Reports,1.173,Q1,2100,USD,2349,no,https://www.elsevier.com/journals/kidney-international-reports/2468-0249/open-access-journal,8,Diseases of the genitourinary system. Urology,,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/kidney-international-reports/,Elsevier,NA,2468-0249
Clinical Kidney Journal,1.079,Q1,2100,GBP,2877,no,https://academic.oup.com/ckj/pages/Instructions_To_Authors#LICENCES%20AND%20CHARGES,8,Diseases of the genitourinary system. Urology,,"CC BY, CC BY-NC",https://academic.oup.com/ckj,Oxford University Press,NA,2048-8513
Kidney Medicine,0.941,Q1,2400,USD,2685,no,https://www.elsevier.com/journals/kidney-medicine/2590-0595/open-access-journal,12,Diseases of the genitourinary system. Urology,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/kidney-medicine,Elsevier,NA,2590-0595
Sexual and Reproductive Health Matters,0.937,Q1,1545,GBP,2116,no,https://www.tandfonline.com/action/authorSubmission?journalCode=ZRHM&page=instructions,16,Diseases of the genitourinary system. Urology,The family. Marriage. Woman,CC BY-NC,https://www.tandfonline.com/journals/zrhm,Taylor & Francis Group,NA,2641-0397
The World Journal of Men's Health,0.92,Q1,No,-,0,yes,https://www.wjmh.org/index.php?body=instructions,6,Diseases of the genitourinary system. Urology,,CC BY-NC,https://www.wjmh.org,Korean Society for Sexual Medicine and Andrology,2287-4208,2287-4690
BMC Nephrology,0.746,Q2,2290,GBP,3137,no,https://bmcnephrol.biomedcentral.com/about,20,Diseases of the genitourinary system. Urology,,"CC BY, CC0",http://bmcnephrol.biomedcentral.com,BMC,NA,1471-2369
Prostate International,0.73,Q1,1800,USD,2013,no,https://www.elsevier.com/journals/prostate-international/2287-8882/open-access-journal,12,Diseases of the genitourinary system. Urology,,"CC BY, CC BY-NC-ND",https://www.sciencedirect.com/journal/prostate-international,Elsevier,2287-8882,2287-903X
Therapeutic Advances in Urology,0.698,Q2,2300,USD,2573,no,https://journals.sagepub.com/author-instructions/tau,10,Diseases of the genitourinary system. Urology,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/tau,SAGE Publishing,1756-2872,1756-2880
Renal Failure,0.654,Q2,2100,GBP,2877,no,https://www.tandfonline.com/action/authorSubmission?journalCode=IRNF&page=instructions,14,Diseases of the genitourinary system. Urology,,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/irnf,Taylor & Francis Group,0886-022X,1525-6049
Journal of the International Association of Providers of AIDS Care,0.634,Q2,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/jia,13,Diseases of the genitourinary system. Urology,,"CC BY, CC BY-NC",http://journals.sagepub.com/home/jia,SAGE Publishing,2325-9574,2325-9582
